ID,LAND,TID,SITC,INDHOLD
435,Jamaica,2020,Diverse fremstillede varer,0
436,Jamaica,2021,Diverse fremstillede varer,4
437,Japan,2018,Diverse fremstillede varer,61288
438,Japan,2019,Diverse fremstillede varer,55488
439,Japan,2020,Diverse fremstillede varer,42483
440,Japan,2021,Diverse fremstillede varer,58011
441,Jordan,2018,Diverse fremstillede varer,8
442,Jordan,2019,Diverse fremstillede varer,0
443,Jordan,2020,Diverse fremstillede varer,9
444,Jordan,2021,Diverse fremstillede varer,106
445,Slovakia,2018,Diverse fremstillede varer,0
446,Slovakia,2019,Diverse fremstillede varer,0
447,Slovakia,2020,Diverse fremstillede varer,0
448,Slovakia,2021,Diverse fremstillede varer,0
449,Kazakhstan,2018,Diverse fremstillede varer,0
450,Kazakhstan,2019,Diverse fremstillede varer,0
451,Kazakhstan,2020,Diverse fremstillede varer,0
452,Kazakhstan,2021,Diverse fremstillede varer,0
453,Kazakhstan,2018,Diverse fremstillede varer,0
454,Kazakhstan,2019,Diverse fremstillede varer,0
455,Kazakhstan,2020,Diverse fremstillede varer,0
456,Kazakhstan,2021,Diverse fremstillede varer,0
457,Cape Verde,2018,Diverse fremstillede varer,6
458,Cape Verde,2019,Diverse fremstillede varer,0
459,Cape Verde,2020,Diverse fremstillede varer,0
460,Cape Verde,2021,Diverse fremstillede varer,0
461,Kazakhstan,2018,Diverse fremstillede varer,425
462,Kasakhstan,2019,Diverse fremstillede varer,407
463,Kasakhstan,2020,Diverse fremstillede varer,380
464,Kasakhstan,2021,Diverse fremstillede varer,1
465,Kenya,2018,Diverse fremstillede varer,367
466,Kenya,2019,Diverse fremstillede varer,348
467,Kenya,2020,Diverse fremstillede varer,75
468,Kenya,2021,Diverse fremstillede varer,166
469,China,2018,Diverse fremstillede varer,3863700
470,China,2019,Diverse fremstillede varer,4063689
471,China,2020,Diverse fremstillede varer,5025577
472,China,2021,Diverse fremstillede varer,5975069
473,Kyrgyzstan,2018,Diverse fremstillede varer,3
474,Kyrgyzstan,2019,Diverse fremstillede varer,0
475,Kyrgyzstan,2020,Diverse fremstillede varer,0
476,Kyrgyzstan,2021,Diverse fremstillede varer,10
477,Kosovo,2018,Diverse fremstillede varer,271
478,Kosovo,2019,Diverse fremstillede varer,682
479,Kosovo,2020,Diverse fremstillede varer,64
480,Kosovo,2021,Diverse fremstillede varer,694
481,Croatia,2018,Diverse fremstillede varer,37006
482,Croatia,2019,Diverse fremstillede varer,40721
483,Croatia,2020,Diverse fremstillede varer,49391
484,Croatia,2021,Diverse fremstillede varer,58730
485,Kuwait,2018,Diverse fremstillede varer,115
486,Kuwait,2019,Diverse fremstillede varer,9
487,Kuwait,2020,Diverse fremstillede varer,2
488,Kuwait,2021,Diverse fremstillede varer,37
489,Laos,2018,Diverse fremstillede varer,26
490,Laos,2019,Diverse fremstillede varer,66
491,Laos,2020,Diverse fremstillede varer,5
492,Laos,2021,Diverse fremstillede varer,6
493,Lesotho,2018,Diverse fremstillede varer,0
494,Lesotho,2019,Diverse fremstillede varer,0
495,Lesotho,2020,Diverse fremstillede varer,0
496,Lesotho,2021,Diverse fremstillede varer,0
497,Latvia,2018,Diverse fremstillede varer,544058
498,Latvia,2019,Diverse fremstillede varer,552131
499,Latvia,2020,Diverse fremstillede varer,732518
500,Latvia,2021,Diverse fremstillede varer,1203886
501,Lebanon,2018,Diverse fremstillede varer,50
502,Libanon,2019,Diverse fremstillede varer,49
503,Libanon,2020,Diverse fremstillede varer,44
504,Libanon,2021,Diverse fremstillede varer,288
505,Liberia,2018,Diverse fremstillede varer,473
506,Liberia,2019,Diverse fremstillede varer,0
507,Liberia,2020,Diverse fremstillede varer,0
